section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Motorola,,,5744294.0,0.018817827482545377
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,OnePlus,,,5365636.0,0.0175773754933391
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Oppo,,,38402777.0,0.12580429073384153
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Others,,,24405595.0,0.0799506912979858
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Realme,,,20619455.0,0.06754761280918206
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Samsung,,,59144667.0,0.193752990379426
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Vivo,,,58646521.0,0.1921211056797362
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,Xiaomi,,,75948492.0,0.2488009179222856
aggregated,user,country,india,,2021,2,2021-Q2,data/aggregated/user/country/india/2021/2.json,,,,,305258086.0,9630620549.0,,
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Apple,,,8753177.0,0.02665766945117494
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Huawei,,,5126319.0,0.015612127734110446
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Lenovo,,,3585329.0,0.010919065769572762
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Motorola,,,5650891.0,0.017209703903236437
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,OnePlus,,,6266945.0,0.01908588713317388
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Oppo,,,42064749.0,0.1281075630469533
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Others,,,25334092.0,0.07715459773995835
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Realme,,,24185973.0,0.07365801852162271
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Samsung,,,61299387.0,0.1866863649856104
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Vivo,,,65338474.0,0.19898734394793893
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,Xiaomi,,,80749587.0,0.24592165776664782
aggregated,user,country,india,,2021,3,2021-Q3,data/aggregated/user/country/india/2021/3.json,,,,,328354923.0,12256377890.0,,
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Apple,,,9883075.0,0.02814396781855819
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Huawei,,,4930699.0,0.014041119183958135
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Motorola,,,5648173.0,0.016084265185243384
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,OnePlus,,,7178086.0,0.020440988395093944
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Oppo,,,45569087.0,0.12976678999694713
aggregated,user,country,india,,2021,4,2021-Q4,data/aggregated/user/country/india/2021/4.json,,,,Others,,,25544819.0,0.07274381342516309
