metric,category,count,amount,section,dtype,map_kind,geo_level,geo_name,year,quarter,registeredUsers,appOpens,brand,brand_count,brand_pct,name,level,period,geo,section_type
transactions,Others,129949.0,82280639.52262866,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Recharge & bill payments,407577.0,153340696.30393675,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Peer-to-peer payments,329005.0,1119439489.5005136,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Merchant payments,137040.0,66713356.798143014,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Financial Services,668.0,418783.1260904173,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Others,4289.0,2851043.563834071,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,525974.0,178877986.7248658,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Peer-to-peer payments,323909.0,1052118443.3664523,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Merchant payments,118801.0,68938500.71228051,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Financial Services,1826.0,993268.2971840606,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Others,2642.0,1448254.787275234,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Recharge & bill payments,455603.0,201223380.1868608,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Peer-to-peer payments,419524.0,1401020928.2319155,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Merchant payments,257572.0,143497844.49072367,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Financial Services,1635.0,1778864.0123306382,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
